,set_num,name_x,year,theme_id,num_parts,id,name_y,parent_id
979,10075-1,Spider-Man Action Pack,2002,488,25,488,Spider-Man,482.0
980,1374-1,Green Goblin,2002,488,59,488,Spider-Man,482.0
981,1376-1,Spider-Man Action Studio,2002,488,249,488,Spider-Man,482.0
982,30302-1,Spider-Man,2014,488,45,488,Spider-Man,482.0
983,30305-1,Spider-Man Super Jumper,2015,488,38,488,Spider-Man,482.0
984,30448-1,Spider-Man vs. The Venom Symbiote,2016,488,49,488,Spider-Man,482.0
985,4850-1,Spider-Man's First Chase,2003,488,190,488,Spider-Man,482.0
986,4851-1,The Origins,2003,488,219,488,Spider-Man,482.0
987,4852-1,The Final Showdown,2003,488,359,488,Spider-Man,482.0
988,4853-1,Spider-Man's Street Chase,2004,488,81,488,Spider-Man,482.0
989,4854-1,Doc Ock's Bank Robbery,2004,488,173,488,Spider-Man,482.0
990,4855-1,Spider-Man's Train Rescue,2004,488,298,488,Spider-Man,482.0
991,4856-1,Doc Ock's Hideout,2004,488,485,488,Spider-Man,482.0
992,4857-1,Doc Ock's Fusion Lab,2004,488,237,488,Spider-Man,482.0
993,5002125-1,Electro,2015,488,5,488,Spider-Man,482.0
994,65518-1,"Spider-Man Co-Pack 1 (4853, 4857)",2004,488,2,488,Spider-Man,482.0
995,65572-1,Spider-Man Co-Pack,2005,488,3,488,Spider-Man,482.0
996,6873-1,Spider-Man's Doc Ock Ambush,2012,488,295,488,Spider-Man,482.0
997,76004-1,Spider-Man: Spider-Cycle Chase,2013,488,236,488,Spider-Man,482.0
998,76005-1,Spider-Man: Daily Bugle Showdown,2013,488,473,488,Spider-Man,482.0
999,76014-1,Spider-Trike vs. Electro,2014,488,69,488,Spider-Man,482.0
1000,76015-1,Doc Ock Truck Heist,2014,488,236,488,Spider-Man,482.0
1001,76016-1,Spider-Helicopter Rescue,2014,488,298,488,Spider-Man,482.0
1002,76057-1,Spider-Man: Web Warriors Ultimate Bridge Battle,2016,488,1090,488,Spider-Man,482.0
1003,76058-1,Spider-Man: Ghost Rider Team-up,2016,488,216,488,Spider-Man,482.0
1004,76059-1,Spider-Man: Doc Ock's Tentacle Trap,2016,488,445,488,Spider-Man,482.0
1005,76071-1,Mighty Micros: Spider-Man vs. Scorpion ,2017,488,79,488,Spider-Man,482.0
1006,comcon023-1,Super Heroes Unite - Venom - San Diego Comic-Con 2012 Exclusive,2012,488,3,488,Spider-Man,482.0
1007,comcon027-1,Spiderwoman - San Diego Comic-Con 2013 Exclusive,2013,488,0,488,Spider-Man,482.0
1008,comcon028-1,Spider-Man - San Diego Comic-Con 2013 Exclusive,2013,488,1,488,Spider-Man,482.0
1009,K1376-1,Spider-Man Adventure Kit,2003,488,3,488,Spider-Man,482.0
1010,K4852-1,Spider-Man Movie Kit,2003,488,5,488,Spider-Man,482.0
1110,10123-1,Cloud City,2003,169,707,169,Star Wars Episode 4/5/6,158.0
1111,10131-1,TIE Fighter Collection,2004,169,688,169,Star Wars Episode 4/5/6,158.0
1112,10144-1,Sandcrawler,2005,169,1679,169,Star Wars Episode 4/5/6,158.0
1113,10178-1,Motorized Walking AT-AT,2007,169,1137,169,Star Wars Episode 4/5/6,158.0
1114,10198-1,Tantive IV,2009,169,1408,169,Star Wars Episode 4/5/6,158.0
1115,10236-1,Ewok Village,2013,169,2023,169,Star Wars Episode 4/5/6,158.0
1116,2853590-1,Stormtrooper,2009,169,5,169,Star Wars Episode 4/5/6,158.0
1117,30005-1,Imperial Speeder Bike,2009,169,33,169,Star Wars Episode 4/5/6,158.0
1118,3341-1,Star Wars #2 - Luke/Han/Boba Minifig Pack,2000,169,25,169,Star Wars Episode 4/5/6,158.0
1119,3342-1,Star Wars #3 - Troopers/Chewie Minifig Pack,2000,169,25,169,Star Wars Episode 4/5/6,158.0
1120,4195641-1,Star Wars Co-Pack of 7142 and 7152,2002,169,2,169,Star Wars Episode 4/5/6,158.0
1121,445062-1,Star Wars Co-Pack of 4500 and 4504,2004,169,2,169,Star Wars Episode 4/5/6,158.0
1122,4475-1,Jabba's Message,2003,169,46,169,Star Wars Episode 4/5/6,158.0
1123,4476-1,Jabba's Prize,2003,169,40,169,Star Wars Episode 4/5/6,158.0
1124,4477-1,T-16 Skyhopper,2003,169,98,169,Star Wars Episode 4/5/6,158.0
1125,4479-1,TIE Bomber,2003,169,229,169,Star Wars Episode 4/5/6,158.0
